Datum i vreme,Prognozirano opterecenje,Location
2021-09-12T13:00:00,5290.9619140625,N.Y.C.
2021-09-12T14:00:00,5299.86865234375,N.Y.C.
2021-09-12T15:00:00,5343.828125,N.Y.C.
2021-09-12T16:00:00,5333.6103515625,N.Y.C.
2021-09-12T17:00:00,5329.9970703125,N.Y.C.
2021-09-12T18:00:00,5214.46044921875,N.Y.C.
2021-09-12T19:00:00,5297.42333984375,N.Y.C.
2021-09-12T20:00:00,5278.130859375,N.Y.C.
2021-09-12T21:00:00,5235.7177734375,N.Y.C.
2021-09-12T22:00:00,5265.6484375,N.Y.C.
2021-09-12T23:00:00,5206.42138671875,N.Y.C.
2021-09-13T00:00:00,4988.0634765625,N.Y.C.
2021-09-13T01:00:00,4984.73681640625,N.Y.C.
2021-09-13T02:00:00,5041.32666015625,N.Y.C.
2021-09-13T03:00:00,5031.6240234375,N.Y.C.
2021-09-13T04:00:00,5037.98095703125,N.Y.C.
2021-09-13T05:00:00,5034.06298828125,N.Y.C.
2021-09-13T06:00:00,5039.36767578125,N.Y.C.
2021-09-13T07:00:00,5037.861328125,N.Y.C.
2021-09-13T08:00:00,5047.24072265625,N.Y.C.
2021-09-13T09:00:00,5069.97216796875,N.Y.C.
2021-09-13T10:00:00,5104.361328125,N.Y.C.
2021-09-13T11:00:00,5125.61474609375,N.Y.C.
2021-09-13T12:00:00,5123.359375,N.Y.C.
2021-09-13T13:00:00,5096.22900390625,N.Y.C.
2021-09-13T14:00:00,5095.7275390625,N.Y.C.
2021-09-13T15:00:00,5106.06787109375,N.Y.C.
2021-09-13T16:00:00,5134.1826171875,N.Y.C.
2021-09-13T17:00:00,5122.2333984375,N.Y.C.
2021-09-13T18:00:00,5139.25830078125,N.Y.C.
2021-09-13T19:00:00,5119.04736328125,N.Y.C.
2021-09-13T20:00:00,5116.19091796875,N.Y.C.
2021-09-13T21:00:00,5107.66552734375,N.Y.C.
2021-09-13T22:00:00,5097.0693359375,N.Y.C.
